content,timestamp,platform,stock_name,delta_seconds,weight,label
예산안 간첩죄 탄핵안  보고도 선동당하니 에휴  그 머리로 주식은 어떻게 하는건지,2024-12-15 02:05:32+00:00,toss,삼성전자,8434839.0,3.997653683360175e-43,
이형 왠일이여,2025-01-06 02:01:27+00:00,toss,삼성전자,6534284.0,1.4290659253186236e-33,
,2024-11-13 05:53:35+00:00,toss,삼성전자,11185956.0,5.931439707844153e-57,
아니 왜이리 주주딱지에 목매는지몰라 넣을타이밍아니라서 안넣고있는건데,2024-11-13 09:19:47+00:00,toss,삼성전자,11173584.0,6.8446095246371e-57,
혹시 다들 평단가가 어떻게 되는지 여쭤봐도 될까요,2023-07-27 05:14:48+00:00,toss,삼성전자,52228283.0,2.9619956692176038e-263,
유우우어어,2023-05-31 07:39:37+00:00,toss,삼성전자,57144394.0,5.760692586614239e-288,
와49900원 다시 보는건가,2024-11-27 00:27:58+00:00,toss,삼성전자,9995893.0,5.689564595324793e-51,
목표가,2024-11-15 07:49:24+00:00,toss,삼성전자,11006207.0,4.749836113707533e-56,
2025년도 금모으기 운동,2025-01-31 08:14:13+00:00,toss,삼성전자,4351918.0,1.3330249384986711e-22,
왜 하이닉스랑  삼전을  자꾸  비교하는지  1도 모르겠네요,2024-08-20 12:28:06+00:00,toss,삼성전자,18506285.0,9.486647802645776e-94,
"최후의 방어선은 발바닥 피부
3만전자  
이마저 무너지면 탈출",2024-10-25 01:10:49+00:00,toss,삼성전자,12844522.0,2.730765493766172e-65,
주린이 삼전 다시 샀어용,2025-03-07 06:18:00+00:00,toss,삼성전자,1334891.0,1.950270997786281e-07,
"이딴게 한국1위주식
한국주식 답도 없네",2024-08-05 03:25:24+00:00,toss,삼성전자,19834847.0,1.9907687555875863e-100,
갤럭시S25울트라가극찬이라던데 최신관련영상어디가야참고되나요,2024-12-20 07:28:06+00:00,toss,삼성전자,7983485.0,7.422693921586784e-41,
내일 다시 진입,2024-04-24 08:45:51+00:00,toss,삼성전자,28714820.0,4.606115054869531e-145,
목표가 하향,2024-12-10 15:14:06+00:00,toss,삼성전자,8819525.0,4.657568526722177e-45,
이렇게 바로 간다구,2024-10-28 05:08:29+00:00,toss,삼성전자,12571062.0,6.46913996983948e-64,
"오를 거면 화끈하게 가던가 빠질거면 쫙 빠져라
물이나 타게 
횡보가 제일 짜증",2023-07-05 00:57:40+00:00,toss,삼성전자,54144511.0,6.911242053352427e-273,
진짜 욕나오네 쓰래기전자,2024-11-12 00:01:18+00:00,toss,삼성전자,11293493.0,1.7085170356244578e-57,
미장에서도 돈버는데 굳이 분리수거장 같은 국장은 안한다,2024-12-06 04:13:46+00:00,toss,삼성전자,9204745.0,5.392984313954328e-47,
"이부진 효과는 잠시지만
대세는 변하지 않는다",2024-04-09 02:42:10+00:00,toss,삼성전자,30032641.0,1.0945435948535816e-151,
,2025-03-21 07:55:49+00:00,toss,삼성전자,119422.0,0.2510259210482016,
시작하라,2025-02-20 01:09:01+00:00,toss,삼성전자,2649430.0,4.813826162289617e-14,
와진짜 그냥 아무말이나한건데 55가온다고,2025-01-03 01:22:54+00:00,toss,삼성전자,6795797.0,6.92695542753593e-35,
떨굴때 확실히 떨어져라,2025-02-03 03:13:16+00:00,toss,삼성전자,4110775.0,2.172487014714529e-21,
"개미 큰손선생님들
제겐 정말 큰돈입니다
떨어지지않게 부탁드려요",2024-07-02 00:12:57+00:00,toss,삼성전자,22783994.0,2.9851542932986085e-115,
이제 시작인가,2024-03-20 01:15:40+00:00,toss,삼성전자,31765831.0,2.1244944337239912e-160,
팔자마자 내려가네,2024-11-15 04:21:37+00:00,toss,삼성전자,11018674.0,4.111615979500716e-56,
줄먹,2025-03-18 04:19:36+00:00,toss,삼성전자,391595.0,0.0107553762081489,
다시 밥먹고 다시와야지,2025-01-07 04:05:32+00:00,toss,삼성전자,6440439.0,4.2341813907117505e-33,
또속았네  아놔,2025-01-21 00:27:08+00:00,toss,삼성전자,5243943.0,4.3754649507369786e-27,
"주린이가 지켜야 할 것들

1 토스 커뮤니티 보고 따라사지 않는다
2 토스 커뮤니티에 대주주 상위n 있는 것 보고 따라사지 않는다
3 토스 커뮤니티 댓들을 믿지 않는다
4 진짜 주식을 잘하는 사람은 토스증권을 쓰지 않음을 기억한다
5 내가 주식을 샀다는 것은 누군가는 팔았다는 것이고 그럼 둘 중에 한 명은 잘못했다는 것이다 10에 9는 주린이가 잘못한거

결론 토스 커뮤니티 보지 않는다",2024-09-30 05:21:36+00:00,toss,삼성전자,14989475.0,4.5139521864784647e-76,
삼성 숏은 없나요,2024-12-02 00:37:36+00:00,toss,삼성전자,9563315.0,8.500741143129726e-49,
또 떨어지겠지,2023-08-23 00:27:36+00:00,toss,삼성전자,49912715.0,1.2909749309505896e-251,
오  좋타,2024-07-08 00:10:58+00:00,toss,삼성전자,22265713.0,1.202639640316386e-112,
대한민국 개미들  대단하다,2024-10-24 06:54:54+00:00,toss,삼성전자,12910277.0,1.2757429691521682e-65,
마 치와라,2024-03-26 01:18:59+00:00,toss,삼성전자,31247232.0,8.590585680026013e-158,
"4만 가자
이때 줍줍",2024-12-09 00:58:18+00:00,toss,삼성전자,8957273.0,9.457168960167512e-46,
내가 사면 다떨어지네너마저도,2024-09-03 23:28:49+00:00,toss,삼성전자,17257042.0,1.8051084680368865e-87,
"여태 오르기라도 하고 떨구지
삼전은 하이닉스 오를때 별로안오르고
하락은 귀신같이함",2025-01-31 02:18:46+00:00,toss,삼성전자,4373245.0,1.0414463537958656e-22,
일좀하자 삼쏭,2024-11-12 04:29:18+00:00,toss,삼성전자,11277413.0,2.0580046044154863e-57,
단계적 추매,2024-04-16 02:26:48+00:00,toss,삼성전자,29428763.0,1.1875720072213614e-148,
"버텨야할지
던져야하는건지
400만원 마이너스인데",2024-08-05 04:10:47+00:00,toss,삼성전자,19832124.0,2.054509384650801e-100,
펄럭,2023-12-22 00:05:21+00:00,toss,삼성전자,39459650.0,4.506503018291368e-199,
어딜가냐  그쪽이아닌데,2025-01-13 00:47:36+00:00,toss,삼성전자,5933915.0,1.4888157876407946e-30,
패턴에 충실한 주식입니다 총알 장전하시고 매수 준비하세요,2023-11-08 04:07:43+00:00,toss,삼성전자,43246708.0,4.149336412480711e-218,
"며칠오르거 하루만에 반납
국장 탈출은 지능순인가",2024-11-27 05:54:26+00:00,toss,삼성전자,9976305.0,7.137386601433134e-51,
국장해서 외인한테 퍼줄바에 미장해서 달러 벌어오는게 수익 더 좋고 애국이네,2024-11-20 01:09:27+00:00,toss,삼성전자,10598204.0,5.339846319992274e-54,
