content,timestamp,platform,stock_name,delta_seconds,weight,label
회사 망했냐 재용아,2024-11-13 02:34:55+00:00,toss,삼성전자,11197876.0,5.167060738748129e-57,
와이번달 내내 같은 금액이구낭,2024-02-26 05:43:04+00:00,toss,삼성전자,33736987.0,2.624995639537684e-170,
야호 7만전자로 돌아와따,2024-08-05 08:22:22+00:00,toss,삼성전자,19817029.0,2.4467184665056317e-100,
4만원 오면 사야되나,2024-10-24 06:18:42+00:00,toss,삼성전자,12912449.0,1.2440719632422028e-65,
삼만원대 물타야 그나마 정권  교체때 본전 찾을듯,2024-11-13 00:15:26+00:00,toss,삼성전자,11206245.0,4.6900375012970887e-57,
개미들 울부짖는거보니 슬슬 들어갈때 된거같네요,2024-10-24 06:55:50+00:00,toss,삼성전자,12910221.0,1.276570107620309e-65,
한 2월 말쯤에 팔수있겠군,2025-01-16 00:14:22+00:00,toss,삼성전자,5676709.0,2.9221429493023115e-29,
"어차피 그동안 외인이 판 매도량 국내 개미들이 매수해줬고
이제 외인들이 사면서 국내 개미들이 털겠지
주가는 항상 손바뀜 일어나면서 오르니깐",2024-09-26 00:06:51+00:00,toss,삼성전자,15353960.0,6.6443500909789695e-78,
"아니 삼성은 짱이 나와 수습안하나요
맨날 쫄다구만 사과하고
짱나네요",2024-11-06 02:33:50+00:00,toss,삼성전자,11802741.0,4.708206116672754e-60,
52까지가려나,2025-01-17 01:08:51+00:00,toss,삼성전자,5587040.0,8.249502388751507e-29,
낼이 문재네,2024-11-19 07:15:47+00:00,toss,삼성전자,10662624.0,2.533482964156329e-54,
"이제 71만원 손해에서 70만원 손해네 
고맙다 삼전",2024-11-20 02:12:12+00:00,toss,삼성전자,10594439.0,5.577681913657008e-54,
아휴잠시휴식좀,2024-01-10 08:17:01+00:00,toss,삼성전자,37788550.0,1.1316659250566395e-190,
본전만 치자제발,2024-11-11 23:39:50+00:00,toss,삼성전자,11294781.0,1.6832363788138497e-57,
삼성전자A005930,2024-07-05 05:46:55+00:00,toss,삼성전자,22504756.0,7.560880399400555e-114,
형님들 저도 마스에 물려있어요 힘내죠,2025-01-02 01:06:58+00:00,toss,삼성전자,6883153.0,2.520243615344088e-35,
심각하긴하다 하,2024-10-07 02:12:22+00:00,toss,삼성전자,14396029.0,4.3405704086770284e-73,
