content,timestamp,platform,stock_name,delta_seconds,weight,label
국장 몆명애들 그래프가 똑같네,2024-08-05 08:30:49+00:00,toss,삼성전자,19816522.0,2.4611181541594456e-100,
"삼성은 그냥 아무 이유없이 모아봄
주식공부중",2024-10-15 02:58:47+00:00,toss,삼성전자,13702044.0,1.3362927753965185e-69,
바닥이 어데공,2024-11-12 00:06:51+00:00,toss,삼성전자,11293160.0,1.7151146510202165e-57,
뭐니,2025-01-07 02:57:46+00:00,toss,삼성전자,6444505.0,4.039535976452729e-33,
뭐하냐 사만전자 안가고 입 쭈아아압 벌리고 대기중이다 빨리 사만전자 가라,2024-11-14 01:16:27+00:00,toss,삼성전자,11116184.0,1.3300654753780986e-56,
"역시 대한민국에서 믿을건 부동산뿐이다
부동산 불패 부동산만이 모든것을 능가한다
주식하지말구 부동산에 올인하자
그것만이 살길이다",2024-11-13 01:41:13+00:00,toss,삼성전자,11201098.0,4.977921018445266e-57,
끝내는 55가 깨졌구나,2025-02-28 04:09:41+00:00,toss,삼성전자,1947390.0,1.626799876002726e-10,
개잡주,2025-02-06 07:55:16+00:00,toss,삼성전자,3834655.0,5.3074996113164915e-20,
다들 떡상가야쥬,2023-05-30 00:13:29+00:00,toss,삼성전자,57257562.0,1.5546382678552865e-288,
주주는 아니지만 대한민국 국민으로서 뿌듯합니다,2025-02-10 05:19:54+00:00,toss,삼성전자,3498377.0,2.6014191859375732e-18,
