content,timestamp,platform,stock_name,delta_seconds,weight,label
"아 이번에 본전 건지면 
손절해야겠다 해도해도 너무한다",2024-11-29 01:08:18+00:00,toss,삼성전자,9820673.0,4.323468140352576e-50,
난 너삼성땜에 새됬어,2024-12-24 01:39:34+00:00,toss,삼성전자,7658797.0,3.181442882345768e-39,
민주당이 정권잡으면 금투세 시행함,2025-01-07 04:44:42+00:00,toss,삼성전자,6438089.0,4.3509277025723785e-33,
"삼만외치는 사람들
정녕 삼만되면 다도망갈걸
한국경제도 생각합시다",2024-10-25 03:06:12+00:00,toss,삼성전자,12837599.0,2.958579591285778e-65,
천천히 오셔도 괜찮으니 구조만 와주세요비상식량 비축은 해뒀습니다,2024-11-14 01:20:30+00:00,toss,삼성전자,11115941.0,1.3338115499756724e-56,
"아무리봐도 스윙자리 같음
분할로 주워봐야징",2024-12-01 12:25:28+00:00,toss,삼성전자,9607243.0,5.112698909310143e-49,
5700원이면 주울만한데,2024-10-10 06:47:13+00:00,toss,삼성전자,14120338.0,1.0551718446780312e-71,
개주식,2025-01-17 00:37:34+00:00,toss,삼성전자,5588917.0,8.072218446807667e-29,
조금 더 기다려 볼께요 등산 좀 다녀오겠습니다,2023-11-08 06:10:35+00:00,toss,삼성전자,43239336.0,4.518917594504423e-218,
"이제그만 보내줘야할거같습니다
오래참았습니다",2024-02-02 01:40:14+00:00,toss,삼성전자,35825157.0,8.371901160795032e-181,
"지극히 개인적인생각입니다

우리국민이야 또저러내 하는북위협이 
외국인에겐 상당히 충격을 많이 주는걸 알았습니다
홍콩에서 지낼당시 북한이 미사일발사했을때도
그친구들은 상당히 놀라워했지요
나한테 니 나라괜찮냐 묻길래 
늘상있는일이라 아무렇치 않아아마도 쌀이부족하니 또 삽질하는거다  라고하니 또충격먹더라구요 
허나 이번 북한행동은 자국민인 내가봐도 위험수위인듯 생각해봅니다
우크라 중동전쟁에이어 북한의 
연평도포격과 전쟁 불사 않겠다 발언 등등
외국투자입장에선 많이 꺼름직하겠다고느낍니다

저는 2년전 묵엿던거 본전으로만회하고 나오고난후 10퍼상승하길래 좀 아쉬웠는데 오늘짜로 다시제자리로왔내요 본전때안뺏으면 
오늘짜로10퍼였겠지요 이득은없지만 손해가 크지않아 더잘한 일이라생각합니다
일단은 잠시 관망만해봅니다
소신껏 성투하십시요",2024-01-10 07:49:05+00:00,toss,삼성전자,37790226.0,1.109925247951524e-190,
꺼억,2024-05-27 06:39:56+00:00,toss,삼성전자,25871175.0,9.058933056044798e-131,
"엔비디아 실적발표후 삼성전자 하이닉스에 관한 언급이 있을지가 중요 하다고 하네요 
내일 좋은 소식이 들려 오면 좋겠네요",2024-05-21 23:13:02+00:00,toss,삼성전자,26329989.0,4.47530413547716e-133,
생애 첫 주식,2024-09-12 01:35:56+00:00,toss,삼성전자,16558215.0,5.87755504670871e-84,
어제 샀는데 오전에 떨어지네3,2024-05-30 00:16:30+00:00,toss,삼성전자,25634981.0,1.3941822110698848e-129,
"외인에 기관에 법인까지 사는데 던지는건 개인들이넹
개미가 많아서 못가는구나",2024-07-05 01:05:18+00:00,toss,삼성전자,22521653.0,6.217827123921636e-114,
뭐여,2025-01-31 00:17:24+00:00,toss,삼성전자,4380527.0,9.572679514893052e-23,
"모두들 코인시장으로 달려가는군요
지금은 늦었을텐데 흠",2024-11-12 01:09:27+00:00,toss,삼성전자,11289404.0,1.7913188791001907e-57,
회이크 조심요,2024-11-07 00:13:06+00:00,toss,삼성전자,11724785.0,1.160661839903025e-59,
오늘이니,2024-06-14 00:40:47+00:00,toss,삼성전자,24337524.0,4.635114410334798e-123,
"마지막에 외국이 디따 들어요 스위스 유비에스증권은 마지막까지 파네

믄 호재있낭 막판 외인이 담았네",2024-11-25 06:34:35+00:00,toss,삼성전자,10146696.0,9.932515056416446e-52,
이걸또 8만을 못넘네 징하네,2024-05-16 00:17:39+00:00,toss,삼성전자,26844512.0,1.1602287498522928e-135,
의견,2025-02-09 22:58:27+00:00,toss,삼성전자,3521264.0,1.996032187023341e-18,
하 나의 삼성 안타깝다 이제 저무는 해인건가,2024-11-05 17:36:22+00:00,toss,삼성전자,11834989.0,3.2415973831179143e-60,
4만원대 가면 슬슬 물타야겠네,2024-11-13 09:27:28+00:00,toss,삼성전자,11173123.0,6.881227556365087e-57,
s25 살돈 벌려고 했는데 글러 먹어따,2025-01-09 09:45:59+00:00,toss,삼성전자,6247212.0,3.9631078630599484e-32,
최근들어 국내주식 쳐다보기싫음 미국서 벌어 메꾸고 있으니 삼성도 중소기업 되가고 있어 혁신이 없어 삼성 직원들 시간만 때우는 애들 많다고함 월급은 따박따박주니까,2024-08-26 01:52:35+00:00,toss,삼성전자,18026016.0,2.461569163700423e-91,
탈출하십쇼 여러분,2024-10-22 01:29:09+00:00,toss,삼성전자,13102622.0,1.3769880549457062e-66,
"이번엔 안놓친다
5 중후반대 가면 무저건 탄다",2024-10-07 01:21:45+00:00,toss,삼성전자,14399066.0,4.1906477115557624e-73,
"금투세 시행하자는 분 

1 미장만 하시는 분

2 광적인 민주당 지지 자 분

3 주식 안하면서 하는 척 하는  주식해도

1백이하 이신 분

금투세 딱 봐도 증시 악제 인대 

시행하자고 하는 분들 90 프로

위 3가지 에 들어 갑니다 

여기 찬성하신다는 분들 투자 내역 보면 답 나옴 

나머지 10프로는 뭘까 

아니면 지금껏 쓴 댓글 살짝만 봐도",2024-09-24 02:17:21+00:00,toss,삼성전자,15518930.0,9.84513058561699e-79,
"주가좀 올릴만 하면 물려있는 개미들 자기평단 오면 다 탈출해서 올릴수가없음
삼전이 언제부터 개미들 킬링필드가 됫냐",2024-11-12 07:13:49+00:00,toss,삼성전자,11267542.0,2.3070843932836542e-57,
휴멘탈터져서 힐주일만에 들어왔는데 본전이네  다행이야,2024-11-18 00:48:26+00:00,toss,삼성전자,10772265.0,7.121989133697804e-55,
탈출,2024-11-15 01:32:39+00:00,toss,삼성전자,11028812.0,3.6563967598167433e-56,
오아침에 추매한 내 자신 칭찬해,2024-10-02 01:31:10+00:00,toss,삼성전자,14830501.0,2.842161473524395e-75,
4만원대로 내려가면 매수할텐데 어렵냥,2024-11-19 00:27:47+00:00,toss,삼성전자,10687104.0,1.9083933085608034e-54,
난63층,2025-02-06 00:30:47+00:00,toss,삼성전자,3861324.0,3.8979542330537264e-20,
삼전은 순수하게 임원진의 트롤짓으로 기술력이 부족해서 밀리는중임,2024-11-05 05:28:39+00:00,toss,삼성전자,11878652.0,1.955620298787918e-60,
"1  국장은 절대 하지말것 
2 1번을 반드시 지킬것",2024-11-08 00:20:09+00:00,toss,삼성전자,11637962.0,3.170490245120463e-59,
54500원에 다시들어간다 와라,2024-10-24 03:41:52+00:00,toss,삼성전자,12921859.0,1.1156953065447397e-65,
이제 줄리가 다 담았나보다 올라가는거 보니,2024-12-12 04:14:11+00:00,toss,삼성전자,8686320.0,2.1763147847203618e-44,
삼전은 의심 안함니다,2024-08-16 06:42:28+00:00,toss,삼성전자,18872623.0,1.3667658565340863e-95,
"건강하네
구라야",2024-11-29 00:35:30+00:00,toss,삼성전자,9822641.0,4.226102242846866e-50,
