content,timestamp,platform,stock_name,delta_seconds,weight,label
여어어엎나라 는 진짜 화성갔더라,2024-11-08 09:36:56+00:00,toss,삼성전자,11604555.0,4.667115990459287e-59,
"삼전은 국민주  오늘보다 내일
개미에게  꿈을
소갈비보다  돼지갈비라도  
매일 매일 사먹게",2023-06-20 00:53:49+00:00,toss,삼성전자,55440742.0,2.1085200761880677e-279,
8만가자 주워담게,2024-07-30 02:07:47+00:00,toss,삼성전자,20357904.0,4.675685062778491e-103,
83층 사람잇다,2023-12-11 07:29:36+00:00,toss,삼성전자,40383395.0,1.02466813066058e-203,
"언제 물타야될까용
고민이됍니다요오오",2024-09-30 14:41:18+00:00,toss,삼성전자,14955893.0,6.658229721399631e-76,
하 진짜 삼전 손절해야하나,2024-10-24 03:33:16+00:00,toss,삼성전자,12922375.0,1.109051983687805e-65,
69정리,2023-10-19 00:27:07+00:00,toss,삼성전자,44987944.0,7.337658698617639e-227,
가주앙,2024-11-21 01:36:01+00:00,toss,삼성전자,10510210.0,1.4785484871675362e-53,
"10퍼이하분들  손절 추천합니다  
진짜",2024-11-14 01:20:07+00:00,toss,삼성전자,11115964.0,1.333456531656701e-56,
줄달리기 하네요빨간팀이 이겼음 좋겠다,2023-06-01 00:19:31+00:00,toss,삼성전자,57084400.0,1.1535540041954189e-287,
쉽게 가질 않네요,2023-06-23 06:39:46+00:00,toss,삼성전자,55160785.0,5.3851452228193034e-278,
빨간불,2023-05-26 01:47:17+00:00,toss,삼성전자,57597534.0,3.0390712785710404e-290,
밑바닥이네,2024-09-06 04:30:34+00:00,toss,삼성전자,17066137.0,1.6447430989850425e-86,
샀다하면 떨어지네,2025-01-13 08:09:22+00:00,toss,삼성전자,5907409.0,2.0233679762655615e-30,
또 몬살게구네,2024-06-25 06:02:53+00:00,toss,삼성전자,23367798.0,3.470907104849114e-118,
수능이라 10시부터네요,2023-11-16 00:18:42+00:00,toss,삼성전자,42569249.0,1.0550294666606991e-214,
욕해서 미안,2025-03-21 09:18:49+00:00,toss,삼성전자,114442.0,0.2659198888799978,
"한번망가진조직은 회복까지 최소5년걸림 
적폐들을 없애는데만 3년넘음",2025-03-11 05:03:24+00:00,toss,삼성전자,993767.0,1.011053235163226e-05,
와  기적같이 제자리 걸음이네,2025-03-10 05:59:15+00:00,toss,삼성전자,1076816.0,3.866549123224724e-06,
공산당,2023-09-06 23:37:35+00:00,toss,삼성전자,48619716.0,4.0761517267731254e-245,
돈은 거짓말하지 않음,2025-01-14 23:41:27+00:00,toss,삼성전자,5765084.0,1.0507019215802077e-29,
미치겠네,2024-10-10 00:45:16+00:00,toss,삼성전자,14142055.0,8.206566003108068e-72,
"이게 반등할 가능성이 있을까 
대규모 구조조정이라도 한다고 하면 모를까",2024-11-12 01:51:24+00:00,toss,삼성전자,11286887.0,1.8442710359575161e-57,
7마넌까지갈라면 얼마나 걸리려나,2025-02-12 07:04:08+00:00,toss,삼성전자,3319323.0,2.066499892854763e-17,
자녀 계획 취소,2025-01-13 00:38:09+00:00,toss,삼성전자,5934482.0,1.4790774229930728e-30,
체결강도 레전드넹,2025-03-19 00:18:29+00:00,toss,삼성전자,319662.0,0.0247286777415928,
아자아자,2025-01-08 02:55:47+00:00,toss,삼성전자,6358224.0,1.0965483911238647e-32,
"내돈도 내돈이지만
나라를 대표하는 기업이 이렇까지 가는걸 보면
나라망할까봐
차마 팔지를 못하겠어
Imf때 금모으기해서 나라빚 갚았다는데 그 맘으로 삼전주식 전국민이 좀 사줘봐",2024-10-24 23:17:24+00:00,toss,삼성전자,12851327.0,2.523938041067963e-65,
6만가면 추매 해야겠네요 와 또 낚였어,2024-01-10 00:09:38+00:00,toss,삼성전자,37817793.0,8.067271022741501e-191,
사려니 싸이드카 걸리더라,2024-08-06 02:05:57+00:00,toss,삼성전자,19753214.0,5.120987350567596e-100,
"제대로 이해 하기 위해 만들어진 책이다

1 우리 모두는 하나님의 자식들이다

2 서로서로 더 사랑하고 더 행복해지자 

예시로 빨간날은 무조건 쉬어라 라는 말씀은 
빨간날이니까 무조건 쉬라는 말씀이 아닌
뭔갈 열심히 하다가 힘들땐 느긋하게 한번 쉬었다가
다시 하는게 좋타는 말씀",2024-12-13 14:59:53+00:00,toss,삼성전자,8561178.0,9.263072141754874e-44,
형 오늘 왜그래 존버는 이긴다,2025-01-08 01:54:32+00:00,toss,삼성전자,6361899.0,1.0508850333382839e-32,
억소리나는 돈 많은 분들이 이케 많은지 첨 알았네요,2023-07-19 00:07:31+00:00,toss,삼성전자,52937920.0,8.027012545033234e-267,
"매일매일비싸게
매수하네요  정신바짝채려야지",2024-05-10 12:34:37+00:00,toss,삼성전자,27318694.0,4.7977874811247084e-138,
평단 596인데 590만되어도 바로 나가렵니다,2024-10-21 00:35:51+00:00,toss,삼성전자,13192220.0,4.881583959768831e-67,
배당받고 먹튀하는 주주 많겟네요,2024-11-20 03:39:10+00:00,toss,삼성전자,10589221.0,5.92491760702837e-54,
좀만 더 기다렸다 팔아야지,2025-03-21 07:52:47+00:00,toss,삼성전자,119604.0,0.2504976961374608,
폐업하자,2024-11-11 00:01:34+00:00,toss,삼성전자,11379877.0,6.286446972035192e-58,
미장만 하지만 기회봐서 들어갈게요,2024-10-10 10:20:50+00:00,toss,삼성전자,14107521.0,1.223907423729362e-71,
외국인 모여라 여기 저평가된 주식잇어요,2024-03-20 04:41:32+00:00,toss,삼성전자,31753479.0,2.4510017621367337e-160,
오늘도 물타기,2024-12-19 05:58:41+00:00,toss,삼성전자,8075250.0,2.566253738357117e-41,
젠슨황 피해자모임 가입자 수 늘겠네,2025-03-17 00:32:03+00:00,toss,삼성전자,491648.0,0.0033783415000448,
와 멋지다,2024-07-05 06:45:00+00:00,toss,삼성전자,22501271.0,7.872087590313925e-114,
"내려와6만원때로
사게어서",2024-01-02 04:21:04+00:00,toss,삼성전자,38493907.0,3.2225630536474186e-194,
"4만 깨진이상 3만도 머지않았구나 가즈아 삼만전자 가즈아 폐지줍는 내 노후

삼성전자",2024-11-14 07:46:31+00:00,toss,삼성전자,11092780.0,1.7438717767168814e-56,
"난독 개미들이 많긴하구나 
전년도 대비 70퍼때라는거지 12분기에 비해 실적오른건 맞아요 
그만큼 주가도 복구 된다는 소리임 난독들앙",2023-10-11 01:19:39+00:00,toss,삼성전자,45675992.0,2.5529679231767297e-230,
줄때 먹고 텼다 하락할때 줍자,2024-08-06 04:38:06+00:00,toss,삼성전자,19744085.0,5.691688680943317e-100,
8만전자 코앞이다,2025-03-21 00:16:35+00:00,toss,삼성전자,146976.0,0.182480655085196,
외인들이 막 쓸어담는다,2025-03-21 00:20:45+00:00,toss,삼성전자,146726.0,0.1830094308823079,
하이닉스는 단숨에 6퍼마이너스인데 삼전은 그래도 버티려나보네요,2024-09-03 23:41:30+00:00,toss,삼성전자,17256281.0,1.8210778543299704e-87,
재드래곤 믿고있었다구 사랑해,2025-03-21 00:14:25+00:00,toss,삼성전자,147106.0,0.1822062957410801,
삼전왜떨어지는거에요,2024-09-13 15:37:47+00:00,toss,삼성전자,16421304.0,2.8667352238929855e-83,
돔황챠,2024-06-11 02:09:12+00:00,toss,삼성전자,24591419.0,2.45382109122338e-124,
오홍,2025-01-07 00:01:03+00:00,toss,삼성전자,6455108.0,3.5730155126207955e-33,
"단타 할라믄 68에 드가
아직이야",2023-09-21 02:03:13+00:00,toss,삼성전자,47401378.0,5.423693497084012e-239,
가자 레고레고,2025-03-05 01:27:21+00:00,toss,삼성전자,1525130.0,2.156988749015436e-08,
떨어져서 분할매수 조금씩 하고있는데 왜 살 때마다 오르냐,2024-09-25 02:48:41+00:00,toss,삼성전자,15430650.0,2.7350538979466995e-78,
"힘좀 내보자
나라도 어지러운데  너라도 힘좀내서 주주들 신나게 한번 웃어보자",2025-02-12 03:20:05+00:00,toss,삼성전자,3332766.0,1.768737517858222e-17,
"고양이 콧털 촉이안와
외인들 살때 됐지",2024-12-26 03:04:54+00:00,toss,삼성전자,7480877.0,2.494302165103481e-38,
"로이터가 평소 관심없다가
갑자기 이런 기사를 내는 이유를 모르겠네요
파운드리 안해도 괜찮은데",2024-05-24 03:21:43+00:00,toss,삼성전자,26142268.0,3.930182957692231e-132,
"101프로 로 30만원 날리고 손절했다가 다시옴  
하 미련이야",2024-10-04 01:04:54+00:00,toss,삼성전자,14659277.0,2.0621291380189802e-74,
그래프모양이 진짜 볼때마다 레알 킹받네,2024-03-13 03:18:46+00:00,toss,삼성전자,32363245.0,2.110184217654159e-163,
6만은 가야 팔지,2025-02-14 01:05:34+00:00,toss,삼성전자,3168037.0,1.1903728537144416e-16,
외국인 무지 쏟아내는구나 도대체 뭐하냐 삼성 자사주 매입이라도 해라,2024-10-25 00:05:31+00:00,toss,삼성전자,12848440.0,2.609698632823422e-65,
24층 구조대가 있다면 거기도 갑니다,2024-04-02 03:26:40+00:00,toss,삼성전자,30634771.0,1.0294199875908484e-154,
오늘 7만 5천원감,2023-12-14 00:18:26+00:00,toss,삼성전자,40150065.0,1.525561281685209e-202,
재미있다 한참 6만원에 있을때 5900원 저점이다 하고 들어갔는데 5800원으로 떨어지고 잠깐 6만원 올라갔을때 손절 치고 5700원으로 떨어지길래 저점이다 하고 들어갔는데 5600원으로 떨어지고,2024-11-11 00:07:50+00:00,toss,삼성전자,11379501.0,6.313864272676831e-58,
그러지마라,2024-09-02 00:13:51+00:00,toss,삼성전자,17427140.0,2.5205545181884927e-88,
어제 매수안한 흑우없제,2024-11-15 01:38:00+00:00,toss,삼성전자,11028491.0,3.6700065558766476e-56,
5년고생하고벌었네요,2023-05-30 05:42:42+00:00,toss,삼성전자,57237809.0,1.953974646937905e-288,
잡주,2024-12-11 06:00:57+00:00,toss,삼성전자,8766314.0,8.622383823895904e-45,
"한국사람 돈많다니깐 
나만없지",2024-09-24 00:33:49+00:00,toss,삼성전자,15525142.0,9.162131315732556e-79,
니가 테스라보다낫다,2025-02-12 10:12:12+00:00,toss,삼성전자,3308039.0,2.3548055498012485e-17,
머냐 벌써오르네,2025-02-12 02:23:40+00:00,toss,삼성전자,3336151.0,1.7007813865414418e-17,
국내 시총 1위 기업이 이 모양이면 안 되는거 아님,2024-11-13 05:54:03+00:00,toss,삼성전자,11185928.0,5.933362245180899e-57,
외인들은 다나가네  자사주 매입으로 그나마 버티는거 아닌지,2025-03-10 07:37:36+00:00,toss,삼성전자,1070915.0,4.139856067494714e-06,
"7만원 안오면 어차피 그나물에 그반찬
7만원도 탈출하게 해달라",2025-03-17 04:04:37+00:00,toss,삼성전자,478894.0,0.0039157255946781,
5만전자가 눈 앞인데  왜 짐드가 5만대부터 분할매수 해야함,2024-09-25 08:56:13+00:00,toss,삼성전자,15408598.0,3.5302991906297987e-78,
기술에 투자할생각 없는거같은데 배당이나 해라,2024-10-26 02:33:06+00:00,toss,삼성전자,12753185.0,7.859501438732345e-65,
판매대기 취소했으니까 더 힘내,2024-11-25 01:01:34+00:00,toss,삼성전자,10166677.0,7.881767261630821e-52,
재드래곤 셀럽질 엄청 하다니 회사 망해가는 지금은 입다물고 언론에 안나오네,2024-10-21 00:32:53+00:00,toss,삼성전자,13192398.0,4.8715373453111916e-67,
분명 10개월전은 1월이였는데  내일 점심좀 추천해줘 애두랑,2024-11-02 14:16:14+00:00,toss,삼성전자,12106197.0,1.4044838086539748e-61,
"어제 손절했는데 
삼전 폼 미쳤다이",2023-11-02 00:08:41+00:00,toss,삼성전자,43779450.0,8.712060494867518e-221,
개인의 돈은 끝났고 기관이 억지로 삼성 사는 상황 싫어도 기관은 살수밖에 없네,2024-10-17 03:04:54+00:00,toss,삼성전자,13528877.0,9.91597288353686e-69,
으아아,2025-02-10 06:10:37+00:00,toss,삼성전자,3495334.0,2.694673493316709e-18,
이번달 6만전자간다,2025-01-06 00:26:39+00:00,toss,삼성전자,6539972.0,1.338015703833016e-33,
"삼성전자A005930 SK하이닉스A00660 
18 이고 300 정도입니다",2024-09-11 00:58:45+00:00,toss,삼성전자,16646846.0,2.107113724125364e-84,
이게 뭐야,2024-11-18 00:29:50+00:00,toss,삼성전자,10773381.0,7.03058834161068e-55,
전재산몰빵했습니다,2024-03-28 04:53:35+00:00,toss,삼성전자,31061556.0,7.367729607555873e-157,
"9만원대에 팔고 다시 밑에서 팔기는 일단 실패한 전략 같고
현재는 나름 분명 싼구간에 진입했습니다만 언제까지 계속 쌀지 언제 다시 오를지는 모르기에 지금부터 슬슬 분할매수 관점으로 접근하는게 어떨까 싶긴 합니다

국장투자자분들에게 모두 행운이 깃들고 성투하길 바랍니다",2024-09-24 05:33:39+00:00,toss,삼성전자,15507152.0,1.1282991565366822e-78,
,2024-11-15 08:28:32+00:00,toss,삼성전자,11003859.0,4.880687255526881e-56,
가치투자해도 쳐박잖아,2024-11-12 01:57:13+00:00,toss,삼성전자,11286538.0,1.8517357617591465e-57,
오늘,2024-09-23 01:50:25+00:00,toss,삼성전자,15606946.0,3.5547092455978966e-79,
"삼성전자가 반도체 생산의 심장부로 불리는 글로벌 인프라 총괄 조직을 내년 상반기 동탄에서 평택으로 이전합니다 이번 결정은 평택 캠퍼스를 반도체 생태계 중심기지로 재편해 메가 팹Mega Fab 전략을 가속화하기 위한 것입니다

평택 캠퍼스는 축구장 400개 크기의 용지 면적약 289만을 자랑하는 세계 최대 규모의 반도체 생산 시설입니다 현재 D램 3D 낸드 첨단 파운드리를 아우르며 생산 라인을 운영 중이며 P4 시설과 P5 라인 투자를 통해 차세대 첨단 반도체 생산기지로서의 입지를 더욱 강화할 예정입니다

이 전략은 삼성전자가 HBM고대역폭 메모리 생산 확대 및 파운드리 수익성 확보를 목표로 내세우는 글로벌 전략회의에서도 주요 안건으로 논의될 것으로 보입니다

httpsmmkcokrnewsbusiness1196954",2024-12-17 13:02:58+00:00,toss,삼성전자,8222593.0,4.663067264077203e-42,
코인보다 더하네,2024-11-15 01:35:24+00:00,toss,삼성전자,11028647.0,3.66338613371935e-56,
금투세 폐지됐는데 삼전은 안오르네요 트럼프의 영향인가요,2024-11-06 03:50:23+00:00,toss,삼성전자,11798148.0,4.9652651045969824e-60,
8만이아니라 더 장기로봐야지,2024-03-21 01:04:02+00:00,toss,삼성전자,31680129.0,5.728508251758525e-160,
"분탕러들이 재대로
굿판 안 벌이니
외국넘들이 꿈쩍 않쟎혀
분탕러들  제대로 밥갑 안할껴
나좀 나가자",2024-11-08 02:43:48+00:00,toss,삼성전자,11629343.0,3.50308206790904e-59,
오늘 테마주로 캐딜락 가야하는건가,2025-01-15 00:33:27+00:00,toss,삼성전자,5761964.0,1.0893373206813908e-29,
실적 발표일 몇일이죠,2024-03-31 12:20:20+00:00,toss,삼성전자,30775551.0,2.018152461020053e-155,
