content,timestamp,platform,stock_name,delta_seconds,weight,label
"삼전 관련기업은 월요일 나름 선방할테고 

기존에 엔비디아 영향으로 상승했던 하이닉스쪽은 박살나겠네요",2024-04-19 22:47:26+00:00,toss,삼성전자,29096325.0,5.567732262248988e-147,
내일 4만 전자 예상 호덜덜,2024-11-13 05:21:15+00:00,toss,삼성전자,11187896.0,5.799741012995432e-57,
초격차 가봅시다,2024-07-16 23:51:22+00:00,toss,삼성전자,21489289.0,9.613347055580088e-109,
삼전 급등 하면서,2024-10-23 04:47:55+00:00,toss,삼성전자,13004296.0,4.29705950367372e-66,
삼쪽이가 안달라졌어요,2024-11-22 00:19:09+00:00,toss,삼성전자,10428422.0,3.8101982617167614e-53,
나는 널 믿었어 8만 가즈아,2025-02-19 02:50:27+00:00,toss,삼성전자,2729744.0,1.9001485031246363e-14,
굿,2024-09-06 04:07:58+00:00,toss,삼성전자,17067493.0,1.6191312771637298e-86,
드디어 탈출기회가왔다,2023-12-22 00:03:45+00:00,toss,삼성전자,39459746.0,4.501498573477388e-199,
"외인님들이 모시는 롤러코스처 출발합니다

근데 외국인 친구들도 급하네 일주일 정도는 더 낚시바늘 걸어놓을만 한데",2024-11-20 03:51:33+00:00,toss,삼성전자,10588478.0,5.976088864642723e-54,
가보자,2025-02-18 11:32:28+00:00,toss,삼성전자,2784823.0,1.0044535042362864e-14,
임마는 젠슨황님께서 언급해줘도 외인들이 나가네,2024-11-25 01:32:45+00:00,toss,삼성전자,10164806.0,8.054309123836459e-52,
제 자리에 있지 않다면 다이아몬드는 그저 석탄 같은 탄소 화합물에 불과하다,2025-01-17 01:53:08+00:00,toss,삼성전자,5584383.0,8.507134776052869e-29,
살려줘,2024-08-26 03:07:47+00:00,toss,삼성전자,18021504.0,2.5935335223105983e-91,
선발대지만 어이가 없네,2025-01-10 00:29:53+00:00,toss,삼성전자,6194178.0,7.321739788881662e-32,
