content,timestamp,platform,stock_name,delta_seconds,weight,label
가보자,2025-02-19 23:58:39+00:00,toss,삼성전자,2653652.0,4.5842498700579975e-14,
배당금기일때매 더내려 가는거 아닌가요,2024-09-11 02:44:55+00:00,toss,삼성전자,16640476.0,2.2683347220361573e-84,
"안 살 때는 맞추더니 아니야 기다리면
곧 올라갈꺼야 난 널 믿어 삼전",2023-10-06 00:14:23+00:00,toss,삼성전자,46111908.0,1.643951320394007e-232,
"7400원에 팔았는데
이렇게 올라갈줄이야",2024-03-29 01:47:24+00:00,toss,삼성전자,30986327.0,1.7598534272133123e-156,
이재용 회장님 화이팅,2023-11-20 03:29:55+00:00,toss,삼성전자,42212176.0,6.57827765082674e-213,
회원모집하고 다시 1500원 내리겠군,2024-10-15 01:54:21+00:00,toss,삼성전자,13705910.0,1.27781785713758e-69,
팔아버린 외인들 후회하게 해주세요,2025-01-03 02:19:52+00:00,toss,삼성전자,6792379.0,7.206479627724519e-35,
"삼전이 십만원가야
경제가 돌아간다",2024-12-26 00:22:04+00:00,toss,삼성전자,7490647.0,2.22761229705338e-38,
많이 떨어졌다 아이가,2025-03-06 02:26:34+00:00,toss,삼성전자,1435177.0,6.109444402400952e-08,
또 53층갈려고하나 6만 언제오냐,2025-01-07 03:54:33+00:00,toss,삼성전자,6441098.0,4.2020088074446146e-33,
오늘도 외인들 팔아제끼네,2024-11-14 01:02:10+00:00,toss,삼성전자,11117041.0,1.3169377948006252e-56,
"치킨값만 
다들 익절하세요",2023-11-15 01:38:15+00:00,toss,삼성전자,42650876.0,4.101680819068563e-215,
"강한 반등을 위해선 오히려 4만대를 가야한다
큰 낙폭이 더 강한 반등 추진력을 만든다",2025-02-03 00:19:41+00:00,toss,삼성전자,4121190.0,1.925775260788225e-21,
"삼성전자A005930 이재용 회장님
제발 최전방 부대에 1km간격으로
사드를 배치해주세요
간곡히 부탁드리옵니다
부탁드립니다
이러다가 북쪽 지방 돼지로 인해서
우리 동남아시아 사람들
다 죽습니다
 테멘",2025-03-02 17:58:32+00:00,toss,삼성전자,1724859.0,2.13746383761984e-09,
200500사이에 뭐가 있는건가,2025-02-06 02:21:01+00:00,toss,삼성전자,3854710.0,4.208064426536174e-20,
20주이상은 티비 한개씩 주는거 어떰,2024-10-25 03:38:27+00:00,toss,삼성전자,12835664.0,3.025586989236955e-65,
