content,timestamp,platform,stock_name,delta_seconds,weight,label
"므하노
마
일좀해라 마",2024-11-08 02:41:31+00:00,toss,삼성전자,11629480.0,3.4975318138532307e-59,
세일끝,2024-11-19 04:57:27+00:00,toss,삼성전자,10670924.0,2.3014289367345344e-54,
잡주다 잡주 에휴,2024-12-20 00:03:36+00:00,toss,삼성전자,8010155.0,5.451340261270375e-41,
"수억개 물량을 개미들이 다 받아내서 탑승한 개미만 우글우글거리고 세력들은 밖에서 구경중인데 우상향이 어케되겠누  박스안에 가두고 흔들면서 실망감에 개미들 물량 던지면 그때서야 출발할까말까지 
미장도 이제 슬슬 단물 빠질때가 되어서 외인들 들어올 수순이긴 하다만 아직은 미장이 재미보기 좋아서 외인들이 안들어와",2024-11-15 04:34:40+00:00,toss,삼성전자,11017891.0,4.149046851775566e-56,
"요즘 같으면  은행이자가  더 나을듯합니다  
이년째  제자리걸음",2023-08-08 03:11:53+00:00,toss,삼성전자,51198858.0,4.426366270349653e-258,
"앞으로 개미들 어떻게 하는지 생각해보자

현재와 드디어 올랐다 빨리 튀고 테슬라사야지

삼성 10퍼 오르고 테슬라 주춤아 삼성 다시 들어갈까

다시 들어온 후외국인들 10퍼먹고 물량 넘기고 2침",2024-07-05 00:40:28+00:00,toss,삼성전자,22523143.0,6.111517699681892e-114,
와 8만전자다,2024-03-28 04:00:27+00:00,toss,삼성전자,31064744.0,7.100828390197691e-157,
이야 88층까지갓엇네,2025-02-18 04:08:28+00:00,toss,삼성전자,2811463.0,7.37942244741537e-15,
Soxl 먹고 디저트 먹으러 왔습니다 10만 가자,2024-04-03 06:39:05+00:00,toss,삼성전자,30536826.0,3.1982961343115257e-154,
5만5천  무너지면 흐미 지옥이네  여기는,2024-11-11 03:48:34+00:00,toss,삼성전자,11366257.0,7.359815987219037e-58,
,2025-03-20 00:05:01+00:00,toss,삼성전자,234070.0,0.0665938186691615,
4번 물타서67600원 만들었네요언제쯤 오르려나,2023-08-08 02:00:00+00:00,toss,삼성전자,51203171.0,4.210830981442339e-258,
