content,timestamp,platform,stock_name,delta_seconds,weight,label
이야 많이올라왔디 힘내,2025-02-14 00:18:17+00:00,toss,삼성전자,3170874.0,1.1519209410398866e-16,
역시 샘송,2024-08-14 02:38:23+00:00,toss,삼성전자,19060068.0,1.5613175350184204e-96,
얜 뭐 트럼프 관련주냐,2024-11-04 05:45:15+00:00,toss,삼성전자,11964056.0,7.277739474653402e-61,
역시 줄때 먹고 빠져야되넹,2025-02-14 00:20:57+00:00,toss,삼성전자,3170714.0,1.1540561043606287e-16,
갤럭시 쓰는 외인들은 무조건 들어와야제 아이폰은 안 들어와도 돼,2024-12-13 00:45:41+00:00,toss,삼성전자,8612430.0,5.118397050508105e-44,
가즈아 삼성,2024-12-26 05:08:18+00:00,toss,삼성전자,7473473.0,2.717475817531421e-38,
도대체 몇일째 조정인가요,2023-06-21 05:36:09+00:00,toss,삼성전자,55337402.0,6.973038925382142e-279,
"뭐 주식이 그것도 국장 대표가
1년에 450는 아니더라도
10는 올라가야  정상아닌가",2024-05-29 07:35:58+00:00,toss,삼성전자,25695013.0,6.9592958129656196e-130,
이거 본전올까요  치킨 사먹을돈 벌고싶었는데 돈 잃었어요,2024-11-12 07:39:49+00:00,toss,삼성전자,11265982.0,2.3491184156016392e-57,
걱정할 회사를 걱정하셈,2024-11-15 12:51:50+00:00,toss,삼성전자,10988061.0,5.859904246232876e-56,
옴마 왜이래,2024-09-25 06:36:10+00:00,toss,삼성전자,15417001.0,3.20312110398617e-78,
"이미  저점  변곡점  지나  대세  상승장으로  
접으들었기 때문에  시간에  투자하면  반도체
상승장  국면으로  8만  9만  달릴거임
반도체  이미  흑자전환으로  시간은  조금  걸려도  조금씩  상승흐름  계속  될 거임
맘 편히  지켜보면됨 상승  보합상승  보합",2024-01-08 14:01:11+00:00,toss,삼성전자,37940700.0,1.945036104533916e-191,
매일 천원씩 내려 가는듯,2024-11-29 00:34:31+00:00,toss,삼성전자,9822700.0,4.223217347959801e-50,
이렇게 올라가도 79층에 있는 난1년 아니 2년가까이 마이너스버티고 있는 중,2024-06-03 03:37:19+00:00,toss,삼성전자,25277332.0,8.751095917796601e-128,
슬픈날이다 그죠,2025-02-03 04:11:01+00:00,toss,삼성전자,4107310.0,2.261383440214611e-21,
미국 금리인하 했다 미장오른다 외국 주식 매도 당연한 수순이지 더구나 호재고 없는 회사 주식이면 외 어제 외인이 샀다 팔았을까 아무 이유없이 답은 뻔하지,2024-11-07 23:56:01+00:00,toss,삼성전자,11639410.0,3.117797952334831e-59,
오늘도 내릴거같드만,2024-10-04 00:57:47+00:00,toss,삼성전자,14659704.0,2.0519629704568456e-74,
떨어지기만 하는 삼전 살돈으로 그냥 비트를 사서 이득보는게 더 빠를듯 인정,2024-10-10 04:22:26+00:00,toss,삼성전자,14129025.0,9.542397375636197e-72,
httpsyoutubecomshortsW4Vlza5DBBAsioW585CzS4Q58xsX,2024-11-12 04:49:44+00:00,toss,삼성전자,11276187.0,2.0874154826073345e-57,
오늘 왜 휴장인지 아시는뷴,2024-12-31 00:35:43+00:00,toss,삼성전자,7057828.0,3.3375575723221794e-36,
,2024-12-11 05:12:03+00:00,toss,삼성전자,8769248.0,8.334497769730764e-45,
세상에 주식이 딱 2가지만 있다면 선택은,2024-11-13 04:16:19+00:00,toss,삼성전자,11191792.0,5.544024444344797e-57,
10 안전자산이라 생각하고 꾸준히 넣어둘라 했더니 이렇게 물리넹,2024-09-14 08:05:21+00:00,toss,삼성전자,16362050.0,5.691557945564395e-83,
더 곡소리 나면 들어와야 겠어요,2024-11-12 04:50:44+00:00,toss,삼성전자,11276127.0,2.0888655801402692e-57,
여기에 물려있을 시간에 다른거 투자했으면,2023-07-20 03:23:52+00:00,toss,삼성전자,52839739.0,2.500727015192839e-266,
뻔해,2025-02-26 02:19:13+00:00,toss,삼성전자,2126818.0,2.039055986138288e-11,
"오전에 팔고  나와서
다시  들어갈 생각으로 보는데
가격이  거의제자리 걸음 이네요",2024-06-05 05:46:58+00:00,toss,삼성전자,25096753.0,7.075432479482061e-127,
5만원 매매 취소시킨 내가 레전드,2024-12-12 03:52:49+00:00,toss,삼성전자,8687602.0,2.1442611003297e-44,
삼전이 살아야 내 주식도 산다고,2024-09-08 14:41:48+00:00,toss,삼성전자,16856663.0,1.8579369412905602e-85,
삼성에 계신분들 왜 하이닉스 구매 안하시고 여기 계시는가요  궁금해서 물어요,2024-09-26 00:43:57+00:00,toss,삼성전자,15351734.0,6.817758635743469e-78,
뜨쟁이들은 꺼져,2024-10-02 00:11:50+00:00,toss,삼성전자,14835261.0,2.689814554342496e-75,
