content,timestamp,platform,stock_name,delta_seconds,weight,label
58900,2024-10-11 05:11:59+00:00,toss,삼성전자,14039652.0,2.68470104832246e-71,
"미국한미 동맹이라고 계속 언급

한국대통령 후보란 사람이 중국 일개 국회의원에게 머리를 조아리며 


 미국이 한국 버려도 할 말은 있어야지 할 말이 없네",2025-01-03 10:44:03+00:00,toss,삼성전자,6762128.0,1.0227783444769631e-34,
이제까지 윤씨 눈치보며 삼전 방어했던 기관 윤씨 보고 가망 없다고 이제 눈치안보고 매도 중,2025-01-23 02:38:56+00:00,toss,삼성전자,5063235.0,3.5429349777508503e-26,
외인은 한번 방향 정하면 오래간다,2025-03-19 06:40:37+00:00,toss,삼성전자,296734.0,0.0322440645933247,
6200원 뚫리나,2024-09-30 06:09:00+00:00,toss,삼성전자,14986631.0,4.665008949500224e-76,
"우하향 곡선인 국장에 들어올 이유가없긴함

대충 1012월은 국장 침체기라서 주우실뿐만 주워서 장투하실분들만 보시길",2024-11-11 01:21:09+00:00,toss,삼성전자,11375102.0,6.643654878115127e-58,
주린이 인데요 개미가 팔면 왜 주가가 올라가나요 진심 궁금합니다 형누님들,2024-03-22 01:47:12+00:00,toss,삼성전자,31591139.0,1.6045557318555988e-159,
삼성전자가 아니라 삼만전자 되겠네,2024-10-04 00:07:35+00:00,toss,삼성전자,14662716.0,1.981661769922133e-74,
6만원까진 빠르게 갈꺼 같네여 가즈사,2024-11-25 01:51:03+00:00,toss,삼성전자,10163708.0,8.15731912531541e-52,
이게 나라냐,2024-11-11 12:33:54+00:00,toss,삼성전자,11334737.0,1.0599954890613997e-57,
"60층에 삿는데 왜 계속 떨어지죠 
혹시 이거 댄건가요",2024-10-10 01:13:58+00:00,toss,삼성전자,14140333.0,8.37176824040742e-72,
앤 걍없는돈이다 생각하몀 마음편하던데,2024-12-20 06:24:53+00:00,toss,삼성전자,7987278.0,7.103883387687316e-41,
장투가 답이다,2025-03-11 01:13:56+00:00,toss,삼성전자,1007535.0,8.62121335958163e-06,
많이들사세요,2024-12-30 01:19:21+00:00,toss,삼성전자,7141610.0,1.2655922565845569e-36,
"나 세뱃돈두 못받았어
삼성 니가 쫌주면 안되겟니 제발",2025-01-31 00:23:29+00:00,toss,삼성전자,4380162.0,9.613205194894656e-23,
"더 이상 내려갈 곳도 없어 보임
월요일에 적금 깨고 올인할 예정",2024-12-27 03:44:50+00:00,toss,삼성전자,7392081.0,6.970873071193354e-38,
